Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks
Step By Step,NEW KIDS ON THE BLOCK,1990-05-26,27,1,15
It Must Have Been Love,ROXETTE,1990-04-07,67,1,25
Poison,BELL BIV DEVOE,1990-04-07,52,3,22
Do You Remember,PHIL COLLINS,1990-04-28,51,4,19
Hold On,WILSON PHILLIPS,1990-03-17,74,1,25
Hold On,EN VOGUE,1990-05-05,61,2,25
Ready Or Not,AFTER 7,1990-03-31,96,7,21
I'll Be Your Shelter,TAYLOR DAYNE,1990-05-05,56,4,18
She Ain't Worth It,GLENN MEDEIROS featuring BOBBY BROWN,1990-05-19,50,1,18
Cradle Of Love,BILLY IDOL,1990-05-05,83,2,24
Rub You The Right Way,JOHNNY GILL,1990-05-12,49,3,23
U Can't Touch This,M.C. HAMMER,1990-04-28,27,8,17
Enjoy The Silence,DEPECHE MODE,1990-04-14,96,8,24
Vogue,MADONNA,1990-04-14,39,1,24
Children Of The Night,RICHARD MARX,1990-04-28,55,13,15
The Power,SNAP,1990-05-12,81,2,22
Girls Nite Out,TYLER COLLINS,1990-04-28,89,6,21
Baby It's Tonight,JUDE COLE,1990-04-14,74,16,19
The Humpty Dance,DIGITAL UNDERGROUND,1990-03-17,81,11,23
Sittin' In The Lap Of Luxury,LOUIE LOUIE,1990-04-28,97,19,16
All I Wanna Do Is Make Love To You,HEART,1990-03-31,57,2,20
When I'm Back On My Feet Again,MICHAEL BOLTON,1990-05-26,74,7,19
Notice Me,NIKKI,1990-04-28,73,21,15
Mentirosa,MELLOW MAN ACE,1990-05-12,88,14,24
Vision Of Love,MARIAH CAREY,1990-06-02,73,1,22
Sending All My Love,LINEAR,1990-02-17,92,5,27
You Can't Deny It,LISA STANSFIELD,1990-05-26,81,14,14
Up All Night,SLAUGHTER,1990-04-28,98,27,14
Alright,JANET JACKSON,1990-04-07,45,4,16
Club At The End Of The Street,ELTON JOHN,1990-04-28,86,28,16
King Of Wishful Thinking,GO WEST,1990-05-19,96,8,24
Bad Of The Heart,GEORGE LAMOND,1990-05-12,84,25,17
The Ballad Of Jayne,L.A. GUNS,1990-04-07,99,33,22
Make You Sweat,KEITH SWEAT,1990-06-02,91,14,21
Nothing Compares 2 U,SINEAD O'CONNOR,1990-03-17,63,1,21
Love Is,ALANNAH MYLES,1990-05-05,88,36,13
Don't Go Away Mad (Just Go Away),MOTLEY CRUE,1990-06-02,72,19,16
Kiss This Thing Goodbye,DEL AMITRI,1990-05-19,79,35,11
Turtle Power,PARTNERS IN KRYME,1990-04-21,89,13,16
Hanky Panky,MADONNA,1990-06-30,40,10,11
Dare To Fall In Love,BRENT BOURGEIOX,1990-04-28,75,32,13
I'll See You In My Dreams,GIANT,1990-03-24,93,20,20
If Wishes Came True,SWEET SENSATION,1990-06-16,58,1,20
Ooh La La (I Can't Get Over You),PERFECT GENTLEMEN,1990-04-14,84,10,16
When I Dream Of You,TOMMY PAGE,1990-05-12,87,42,10
Could This Be Love,SEDUCTION,1990-06-09,88,11,18
Pure,LIGHTNING SEEDS,1990-05-19,87,31,15
The Blues,TONY TONI TONE,1990-06-02,89,46,10
Nicety,MICHEL'LE,1990-04-14,98,29,16
Possession,BAD ENGLISH,1990-06-09,94,21,17
My Kinda Girl,BABYFACE,1990-06-16,71,30,13
Welcome To The Real World,JANE CHILD,1990-06-02,90,49,9
Across The River,BRUCE HORNSBY AND THE RANGE,1990-06-23,63,18,16
Bounce Back,ALISHA,1990-05-26,95,54,8
Expression,SALT-N-PEPA,1990-03-10,95,26,21
I Wanna Be Rich,CALLOWAY,1990-02-10,93,2,23
I Didn't Want To Need You,HEART,1990-06-23,67,23,14
Doubleback,ZZ TOP,1990-05-19,86,50,11
The Other Side,AEROSMITH,1990-06-23,74,22,15
Always & Forever,WHISTLE,1990-04-07,87,35,15
House Of Pain,FASTER PUSSYCAT,1990-02-24,89,28,21
The Right Combination,SEIKO &amp; DONNIE WAHLBERG,1990-06-16,88,54,13
Have You Seen Her,MC HAMMER,1990-06-30,63,4,20
The Girl I Used To Know,BROTHER BEYOND,1990-06-23,69,27,15
Jerk Out,TIME,1990-06-30,65,9,15
Bang Bang,DANGER DANGER,1990-06-02,98,49,13
'B' Girls,YOUNG &amp; RESTLESS,1990-05-05,84,54,15
Let Me Be Your Lover,U-KREW,1990-06-09,97,68,8
Epic,FAITH NO MORE,1990-06-23,71,9,21
Love & Emotion,STEVIE B,1990-06-30,70,15,15
Talk To Me,ANITA BAKER,1990-06-23,86,44,13
Your Baby Never Looked Good In Blue,EXPOSE,1990-03-31,61,17,16
Follow My Heartbeat,A'ME LORAIN,1990-06-16,92,72,6
This Old Heart Of Mine,ROD STEWART with RONALD ISLEY,1990-03-24,62,10,16
We're All In The Same Gang,WEST COAST RAP ALL-STARS,1990-06-23,80,35,16
Release Me,WILSON PHILLIPS,1990-06-30,76,1,22
What It Takes,AEROSMITH,1990-03-17,60,9,17
Don't You Love Me,49-ERS,1990-06-16,91,78,9
