Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks
Turn Turn Turn,BYRDS,1965-10-23,80,1,14
I Hear A Symphony,SUPREMES,1965-10-23,101,1,11
1-2-3,LEN BARRY,1965-08-28,134,2,19
Let's Hang On,FOUR SEASONS,1965-09-25,134,3,18
I Got You (I Feel Good),JAMES BROWN,1965-11-13,68,3,12
Rescue Me,FONTELLA BASS,1965-10-02,76,4,13
Taste Of Honey,HERB ALPERT &amp; THE TIJUANA BRASS,1965-09-11,122,7,18
Ain't That Peculiar,MARVIN GAYE,1965-10-09,71,8,12
I Can Never Go Home Anymore,SHANGRI-LAS,1965-11-06,88,6,11
Over And Over,DAVE CLARK FIVE,1965-11-13,63,1,12
Get Off My Cloud,ROLLING STONES,1965-10-09,64,1,12
Run Baby Run,NEWBEATS,1965-09-25,119,12,14
I Will,DEAN MARTIN,1965-10-30,88,10,10
You've Got To Hide Your Love Away,SILKIE,1965-10-09,104,10,11
May The Bird Of Paradise Fly Up Your Nose,LITTLE JIMMY DICKENS,1965-10-16,90,15,10
Make It Easy On Yourself,WALKER BROTHERS,1965-10-09,130,16,11
Make The World Go Away,EDDY ARNOLD,1965-10-16,82,6,14
England Swings,ROGER MILLER,1965-11-06,81,8,11
Something About You,FOUR TOPS,1965-11-13,58,19,7
Fever,McCOYS,1965-11-06,112,7,12
Hang On Sloopy,THE RAMSEY LEWIS TRIO,1965-11-13,124,11,9
I'm A Man,YARDBIRDS,1965-10-23,113,17,11
A Lover's Concerto,THE TOYS,1965-09-11,98,2,15
Don't Think Twice,WONDER WHO,1965-11-06,90,12,11
My Baby,TEMPTATIONS,1965-10-23,74,13,8
Kiss Away,RONNIE DOVE,1965-10-30,111,25,9
Puppet On A String,ELVIS PRESLEY,1965-11-06,113,14,11
My Girl Has Gone,MIRACLES,1965-10-09,95,14,10
Let Me Be,TURTLES,1965-10-30,80,29,7
Here It Comes Again,FORTUNES,1965-11-06,80,27,8
Sunday And Me,JAY AND THE AMERICANS,1965-11-13,102,18,9
Keep On Dancing,GENTRYS,1965-09-04,101,4,14
You're The One,VOGUES,1965-09-11,103,4,13
The Sounds Of Silence,SIMON AND GARFUNKEL,1965-11-13,111,1,15
Mystic Eyes,THEM,1965-10-30,97,33,8
It's My Life,ANIMALS,1965-11-06,87,23,12
One Has My Name,BARRY YOUNG,1965-10-02,134,13,16
(All Of A Sudden) My Heart Sings,MEL CARTER,1965-10-23,109,38,8
Just A Little Bit,ROY HEAD,1965-10-23,135,39,8
Everyone's Gone To The Moon,JONATHAN KING,1965-09-11,131,17,13
Ebb Tide,THE RIGHTEOUS BROTHERS,1965-11-27,102,5,10
