Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks
Hey Ya!,OUTKAST,2003-10-18,57,1,32
The Way You Move,OUTKAST feat SLEEPY BROWN,2003-09-27,83,1,39
Milkshake,KELIS,2003-10-04,95,3,22
You Don't Know My Name,ALICIA KEYS,2003-11-15,63,3,20
Stand Up,LUDACRIS featuring SHAWNNA,2003-09-06,84,1,28
Walked Outta Heaven,JAGGED EDGE,2003-09-06,76,6,27
Here With You,3 DOORS DOWN,2003-08-30,64,5,51
Slow Jamz,TWISTA feat KANYE WEST &amp; JAMIE FOXX,2003-12-06,62,1,22
Suga Suga,BABY BASH featuring FRANKIE J,2003-08-23,71,7,33
"Me, Myself And I",BEYONCE,2003-11-15,78,4,24
It's My Life,NO DOUBT,2003-11-01,69,10,28
Someday,NICKELBACK,2003-08-23,81,7,50
Get Low,LIL JON &amp; THE EAST SIDE BOYZ feat YING YANG TWINS,2003-05-03,98,2,45
Baby Boy,BEYONCE feat SEAN PAUL,2003-08-16,57,1,29
Holidae In,CHINGY featuring LUDACRIS &amp; SNOOP DOGG,2003-09-20,73,3,21
Damn!,YOUNGBLOODZ featuring LIL JON,2003-08-09,85,4,32
Change Clothes,JAY-Z,2003-11-15,54,10,18
Read Your Mind,AVANT,2003-10-04,71,13,26
Step In The Name Of Love,R. KELLY,2003-08-23,68,9,27
White Flag,DIDO,2003-09-20,75,18,41
Numb,LINKIN PARK,2003-11-08,66,11,32
The First Cut Is The Deepest,SHERYL CROW,2003-10-25,75,14,36
Why Don't You And I,SANTANA feat ALEX BAND or CHAD KROEGER,2003-07-26,77,8,35
Headstrong,TRAPT,2003-09-13,49,16,23
Salt Shaker,YING YANG TWINS feat LIL JON &amp; THE EAST SIDE BOYZ,2003-11-15,92,9,26
Runnin' (Dying To Live),TUPAC feat NOTORIOUS B.I.G.,2003-10-18,75,19,20
Stunt 101,G-UNIT,2003-11-01,80,13,18
So Far Away,STAIND,2003-08-02,78,24,28
Gigolo,NICK CANNON featuring R. KELLY,2003-11-15,95,24,20
Unwell,MATCHBOX TWENTY,2003-03-22,59,5,54
Through The Wire,KANYE WEST,2003-11-29,94,15,21
Wat Da Hook Gon Be,MURPHY LEE feat JERMAINE DUPRI,2003-10-11,75,17,20
Perfect,SIMPLE PLAN,2003-11-01,72,24,20
There Goes My Life,KENNY CHESNEY,2003-11-08,78,29,20
Remember When,ALAN JACKSON,2003-12-13,61,29,20
Bright Lights,MATCHBOX TWENTY,2003-09-27,73,23,21
Invisible,CLAY AIKEN,2003-11-22,57,37,20
Shake Ya Tailfeather,"NELLY, P. DIDDY &amp; MURPHY LEE",2003-06-28,66,1,30
You Can't Take The Honky Tonk Out Of The Girl,BROOKS &amp; DUNN,2003-11-08,77,39,20
Yeah,USHER featuring LUDACRIS &amp; LIL JON,2004-01-10,53,1,45
Fallen,SARAH McLACHLAN,2003-10-25,73,41,21
Not Today,MARY J. BLIGE featuring EVE,2003-12-13,67,41,10
Why Can't I,LIZ PHAIR,2003-09-20,76,32,20
The Voice Within,CHRISTINA AGUILERA,2003-11-29,62,33,16
With You,JESSICA SIMPSON,2003-12-27,65,14,23
Hotel,CASSIDY feat R. KELLY,2003-12-20,82,4,24
Fuck It (I Don't Want You Back),EAMON,2003-12-06,98,16,21
Sorry 2004,RUBEN STUDDARD,2004-01-03,58,9,20
Gangsta Nation,WESTSIDE CONNECTION feat NATE DOGG,2003-12-06,77,33,18
Harder To Breath,MAROON5,2003-08-23,76,18,22
I Love This Bar,TOBY KEITH,2003-09-06,85,26,20
American Soldier,TOBY KEITH,2003-12-27,69,28,20
I Wanna Do It All,TERRI CLARK,2003-12-13,70,38,20
Watch The Wind Blow By,TIM McGRAW,2003-12-13,75,32,20
My Baby,BOW WOW feat JAGGED EDGE,2003-12-06,71,42,11
(There's Gotta Be) More To Life,STACIE ORRICO,2003-09-20,84,30,20
More & More,JOE,2003-11-22,78,48,20
Breathe,MICHELLE BRANCH,2003-11-08,63,36,18
Badaboom,B2K featuring FABOLOUS,2003-12-20,91,59,8
Spash Waterfalls,LUDACRIS,2004-01-03,74,6,21
Honesty (Write Me A List),RODNEY ATKINS,2003-10-04,94,57,19
Little Moments,BRAD PAISLEY,2003-12-20,76,35,20
She's Not Just A Pretty Face,SHANIA TWAIN,2003-12-06,74,56,13
(I Hate) Everything About You,THREE DAYS GRACE,2003-11-29,75,55,20
Hit That,THE OFFSPRING,2003-12-20,74,64,15
Are You Gonna Be My Girl,JET,2003-12-20,73,29,25
Fallen,MYA,2003-11-29,68,51,12
Forthenight,MUSIQ,2003-11-08,99,53,17
Drinkin' Bone,TRACY BYRD,2003-11-29,74,60,16
My Immortal,EVANESCENCE,2004-01-10,70,7,32
I Am The Highway,AUDIOSLAVE,2004-01-10,71,66,17
In My Daughter's Eyes,MARTINA McBRIDE,2004-01-17,72,39,16
Cowboys Like Us,GEORGE STRAIT,2003-10-04,76,38,19
Clubbin',MARQUES HOUSTON feat JOE BUDDEN &amp; PIED PIPER,2003-09-06,81,39,20
Megalomaniac,INCUBUS,2004-01-03,75,55,20
Away From Me,PUDDLE OF MUDD,2003-11-22,74,72,16
Rubber Band Man,T.I.,2004-01-10,77,30,20
Hell Yeah,MONTGOMERY GENTRY,2003-11-01,74,45,14
Chicks Dig It,CHRIS CAGLE,2003-11-01,73,53,15
In My Life,JUVENILE featuring MANNIE FRESH,2004-01-03,89,46,17
Stacy's Mom,FOUNTAINS OF WAYNE,2003-10-11,59,21,17
Pop That Booty,"MARQUES HOUSTON feat JERMAINE ""JD"" DUPRI",2003-12-13,97,76,9
Still Frame,TRAPT,2003-11-15,76,69,20
Shake That Monkey,TOO SHORT feat LIL JON &amp; THE EAST SIDE BOYZ,2003-11-22,97,84,20
The Set Up,OBIE TRICE featuring NATE DOGG,2004-01-10,73,73,4
I'm Still In Love With You,SEAN PAUL featuring SASHA,2004-01-03,82,14,25
Freek-A-Leek,PETEY PABLO,2004-01-03,99,7,39
Gangsta Girl,BIG TYMERS featuring R. KELLY,2003-12-27,97,85,9
Long Black Train,JOSH TURNER,2004-01-17,89,72,14
Weak And Powerless,A PERFECT CIRCLE,2003-09-27,78,61,18
Neva Eva,TRILLVILLE,2003-12-20,99,77,18
Pass That Dutch,MISSY ELLIOTT,2003-10-18,48,27,15
Knock Knock,MONICA,2003-09-27,89,75,18
Another Postcard (Chimps),BARENAKED LADIES,2003-10-18,95,82,15
Me Against The Music,BRITNEY SPEARS feat MADONNA,2003-10-25,50,35,13
Tipsy,J-KWON,2004-01-17,96,2,30
Love You More,GINUWINE,2003-11-01,93,78,16
Alone,LASGO,2003-12-27,95,83,14
I Can Only Imagine,MERCYME,2004-01-17,99,98,3
Walking In Memphis,LONESTAR,2003-11-08,73,61,11
