Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks
Candle In The Wind 1997/Something About The Way You Look Ton,ELTON JOHN,1997-10-11,1,1,42
You Make Me Wanna...,USHER,1997-08-23,25,2,47
How Do I Live,LeANN RIMES,1997-06-21,89,2,69
4 Seasons Of Loneliness,BOYZ II MEN,1997-09-27,2,1,20
All Cried Out,ALLURE featuring 112,1997-08-30,40,4,25
My Love Is The Shhh!,SOMETHIN' FOR THE PEOPLE featuring TRINA &amp; TAMARA,1997-08-30,69,4,26
You Were Meant For Me / Foolish Games,JEWEL,1996-11-30,61,2,65
Tubthumping,CHUMBAWAMBA,1997-09-13,79,6,31
Quit Playing Games (With My Heart),BACKSTREET BOYS,1997-06-28,24,2,43
The One I Gave My Heart To,AALIYAH,1997-10-04,24,9,20
Semi-Charmed Life,THIRD EYE BLIND,1997-07-05,17,4,43
My Body,LSG,1997-11-01,26,4,20
Honey,MARIAH CAREY,1997-09-13,1,1,20
Feel So Good,MASE,1997-11-01,29,5,20
I Don't Want To Wait,PAULA COLE,1997-11-01,19,11,56
What About Us,TOTAL,1997-08-30,62,16,24
Sock It 2 Me,"MISSY ""MISDEMEANOR"" ELLIOTT featuring DA BRAT",1997-10-18,55,12,20
Building A Mystery,SARAH McLACHLAN,1997-09-06,18,13,22
All For You,SISTER HAZEL,1997-07-12,26,11,41
Mo Money Mo Problems,THE NOTORIOUS B.I.G. feat. PUFF DADDY &amp; MASE,1997-08-02,4,1,30
Butta Love,NEXT,1997-09-06,89,16,23
Criminal,FIONA APPLE,1997-10-04,28,21,20
2 Become 1,SPICE GIRLS,1997-08-16,6,4,24
Invisible Man,98 DEGREES,1997-07-12,77,12,28
I'll Be Missing You,PUFF DADDY &amp; FAITH EVANS featuring 112,1997-06-14,1,1,33
You Should Be Mine (Don't Waste Your Time),BRIAN McKNIGHT featuring MASE,1997-09-06,43,17,20
Everything,MARY J. BLIGE,1997-09-27,29,24,20
I Miss The Homies,MASTER P featuring PIMP C AND THE SHOCKER,1997-09-06,27,25,20
I Care 'Bout You,MILESTONE,1997-08-30,88,23,20
Love Gets Me Every Time,SHANIA TWAIN,1997-10-11,63,25,20
If I Could Teach The World,BONE THUGS-N-HARMONY,1997-10-18,42,27,20
Spice Up Your Life,SPICE GIRLS,1997-11-08,32,18,20
Sunny Came Home,SHAWN COLVIN,1997-07-12,8,7,32
Do You Know (What It Takes),ROBYN,1997-05-31,36,7,28
Barely Breathing,DUNCAN SHEIK,1996-11-30,85,16,55
Legend Of A Cowgirl,IMANI COPPOLA,1997-09-13,86,36,20
They Like It Slow,H-TOWN,1997-10-11,70,35,20
"Too Gone, Too Long",EN VOGUE,1997-10-11,44,33,17
Up Jumps Da Boogie,MAGOO &amp; TIMBALAND,1997-07-19,83,12,20
Backyard Boogie,MACK 10,1997-08-30,46,37,20
Not Tonight,"LIL KIM feat DA BRAT, LEFT EYE, MISSY ELLIOTT &amp; ANGIE MAR",1997-07-12,33,6,21
Heaven,NU FLAVOR,1997-10-11,58,27,24
The Freshmen,THE VERVE PIPE,1997-02-22,80,5,42
Return Of The Mack,MARK MORRISON,1997-03-01,42,2,40
Bitch,MEREDITH BROOKS,1997-04-26,57,2,30
Last Night's Letter,K-CI &amp; JOJO,1997-10-04,84,46,20
I Do,LISA LOEB,1997-11-01,66,17,22
Coco Jamboo,MR. PRESIDENT,1997-08-02,45,21,20
No Tengo Dinero,LOS UMBRELLAS,1997-08-30,80,42,27
Never Make A Promise,DRU HILL,1997-08-09,10,7,20
On My Own,PEACH UNION,1997-09-20,50,39,13
You Light Up My Life,LeANN RIMES,1997-09-13,55,34,20
A Broken Wing / Valentine,MARTINA McBRIDE,1997-10-04,87,50,20
Avenues,REFUGEE CAMP ALL STARS featuring PRAS with KY-MANI,1997-09-20,68,35,14
So Help Me Girl,GARY BARLOW,1997-10-18,76,44,20
Phenomenon,LL COOL J,1997-11-01,56,55,9
Have A Little Mercy,4.0,1997-08-23,76,46,20
I Say A Little Prayer,DIANA KING,1997-07-19,91,38,20
Electric Barbarella,DURAN DURAN,1997-10-11,65,52,9
Breaking All The Rules,SHE MOVES,1997-11-08,60,32,20
Love Is Alive,3RD PARTY,1997-09-27,90,61,11
Do You Like This,ROME,1997-08-02,72,31,20
Gotham City,R. KELLY,1997-07-19,17,9,20
Around The World,DAFT PUNK,1997-08-30,68,61,20
Don't Go,LE CLICK featuring KAYO,1997-09-27,79,62,15
So Good,DAVINA,1997-11-01,69,60,19
Barbie Girl,AQUA,1997-09-06,7,7,14
I'm Not A Player,BIG PUNISHER,1997-11-01,75,57,20
"After 12, Before 6",SAM SALTER,1997-08-23,67,51,16
The Rest Of Mine,TRACE ADKINS,1997-10-18,93,70,16
Please,THE KINLEYS,1997-10-04,91,67,12
C U When U Get There,COOLIO featuring 40 THEVZ,1997-07-05,50,12,20
At The Beginning,DONNA LEWIS &amp; RICHARD MARX,1997-11-08,73,45,20
Someone,SWV featuring PUFF DADDY,1997-07-26,31,19,20
Me And My Crazy World,LOST BOYZ,1997-09-20,60,52,10
I Don't Ever Want To See You Again,UNCLE SAM,1997-11-08,76,6,28
You're Not Alone,OLIVE,1997-10-25,81,56,20
Don't Say,JON B,1997-08-30,72,68,15
Free,ULTRA NATE,1997-08-23,92,75,19
You're The Inspiration,PETER CETERA featuring AZ YET,1997-10-18,92,77,10
To The Moon And Back,SAVAGE GARDEN,1997-07-26,57,37,20
The Way That You Talk,JAGGED EDGE featuring DA BRAT &amp; JD,1997-09-20,90,65,9
Big Bad Mamma,FOXY BROWN featuring DRU HILL,1997-08-16,55,53,15
I Can Love You,MARY J. BLIGE,1997-07-26,32,28,19
Jack-Ass,BECK,1997-09-13,75,73,10
Dream,FOREST FOR THE TREES,1997-11-01,72,72,3
Spin Spin Sugar,SNEAKER PIMPS,1997-10-11,92,87,9
All Of My Days,CHANGING FACES featuring JAY-Z,1997-11-08,88,65,12
Alright,JAMIROQUAI,1997-10-11,91,78,8
Can We,SWV,1997-08-02,75,75,15
Down For Yours,NASTYBOY KLICK featuring ROGER TROUTMAN,1997-08-09,87,69,17
Baby You Know,O'JAYS,1997-11-08,92,76,7
One More Night,AMBER,1997-10-18,89,58,20
A Smile Like Yours,NATALIE COLE,1997-10-11,87,84,5
