Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks
Yeah,USHER feat LUDACRIS &amp; LIL JON,2004-01-10,53,1,45
I Don't Wanna Know,MARIO WINANS with P. DIDDY &amp; ENYA,2004-02-21,72,2,30
Burn,USHER,2004-03-13,65,1,30
Naughty Girl,BEYONCE,2004-03-27,68,3,22
This Love,MAROON 5,2004-02-14,66,5,43
My Band,D-12 featuring EMINEM,2004-03-20,72,6,18
If I Ain't Got You,ALICIA KEYS,2004-03-06,64,4,40
Tipsy,J-KWON,2004-01-17,96,2,30
Overnight Celebrity,TWISTA,2004-03-27,60,6,20
The Reason,HOOBASTANK,2004-03-20,62,2,38
All Falls Down,KANYE WEST featuring SYLEENA JOHNSON,2004-03-13,75,7,20
Freek-A-Leek,PETEY PABLO,2004-01-03,99,7,39
Dirt Off Your Shoulder,JAY-Z,2004-01-24,68,5,26
My Immortal,EVANESCENCE,2004-01-10,70,7,32
Game Over,LIL FLIP,2004-03-13,67,15,20
I'm Still In Love With You,SEAN PAUL featuring SASHA,2004-01-03,82,14,25
Confessions Part II,USHER,2004-05-01,48,1,25
One Call Away,CHINGY featuring J. WEAV,2004-01-31,54,2,20
Toxic,BRITNEY SPEARS,2004-01-31,53,9,20
The Way You Move,OUTKAST feat SLEEPY BROWN,2003-09-27,83,1,39
Take My Breath Away,JESSICA SIMPSON,2004-04-03,59,20,16
Hotel,CASSIDY feat R. KELLY,2003-12-20,82,4,24
With You,JESSICA SIMPSON,2003-12-27,65,14,23
You'll Think Of Me,KEITH URBAN,2004-02-14,69,24,20
Someday,NICKELBACK,2003-08-23,81,7,50
The First Cut Is The Deepest,SHERYL CROW,2003-10-25,75,14,36
Mayberry,RASCAL FLATTS,2004-02-21,74,21,20
When The Sun Goes Down,KENNY CHESNEY &amp; UNCLE KRACKER,2004-02-21,70,26,20
Roses,OUTKAST,2004-03-13,81,9,21
Happy People,R. KELLY,2004-04-10,80,19,20
Here With You,3 DOORS DOWN,2003-08-30,64,5,51
White Flag,DIDO,2003-09-20,75,18,41
100 Years,FIVE FOR FIGHTING,2004-02-14,70,28,22
Redneck Woman,GRETCHEN WILSON,2004-04-10,76,22,20
Letters From Home,JOHN MICHAEL MONTGOMERY,2004-03-20,66,24,20
Splash Waterfalls,LUDACRIS,2004-01-03,74,6,21
Numb,LINKIN PARK,2003-11-08,66,11,32
Dude,BEENIE MAN,2004-02-07,99,26,26
Don't Take Your Love Away,AVANT,2004-03-13,74,37,20
Hey Mama,BLACK EYED PEAS,2004-04-10,67,23,20
Hey Ya!,OUTKAST,2003-10-18,57,1,32
I Miss You,BLINK 182,2004-03-20,70,42,20
Paint Me A Birmingham,TRACY LAWRENCE,2004-04-03,67,42,16
Don't Tell Me,AVRIL LAVIGNE,2004-04-03,65,22,20
Move Ya Body,NINA SKY featuring JABBA,2004-05-01,73,4,26
Desperately,GEORGE STRAIT,2004-03-27,73,44,14
Are You Gonna Be My Girl,JET,2003-12-20,73,29,25
Wanna Get To Know You,G-UNIT featuring JOE,2004-02-14,62,15,18
8th World Wonder,KIMBERLY LOCKE,2004-03-27,78,49,20
Let's Be Us Again,LONESTAR,2004-04-10,71,38,20
Meant To Live,SWITCHFOOT,2004-04-03,75,18,28
Whiskey Town,TOBY KEITH,2004-05-01,68,31,20
If You Ever Stop Loving Me,MONTGOMERY GENTRY,2004-04-17,74,30,20
Slow Motion,JUVENILE featuring SOULJA SLIM,2004-05-01,70,1,28
Cold Hard Bitch,JET,2004-04-03,76,55,20
Ride Wit You,JOE &amp; G-UNIT,2004-03-13,86,56,14
That's What She Gets For Loving Me,BROOKS &amp; DUNN,2004-04-10,73,53,14
Lying For You,LINKIN PARK,2004-04-10,78,58,16
Sweet Southern Comfort,BUDDY JEWELL,2004-02-07,73,40,20
Sorry 2004,RUBEN STUDDARD,2004-01-03,58,9,20
Culo,PITBULL,2004-04-24,84,32,20
Jesus Walks,KANYE WEST,2004-05-08,68,15,20
Leave,JOJO,2004-04-10,99,12,29
Slither,VELVET REVOLVER,2004-05-15,64,56,20
On Fire,LLOYD BANKS,2004-05-15,65,8,20
Dip It Low,CHRISTINA MILIAN,2004-04-24,87,5,30
Heaven,LOS LONELY BOYS,2004-05-15,67,16,30
Ch-Check It Out,BEASTIE BOYS,2004-05-15,68,68,12
Loco,DAVID LEE MURPHY,2004-05-08,74,44,18
Rubber Band Man,T.I.,2004-01-10,77,30,20
It Only Hurts When I'm Breathing,SHANIA TWAIN,2004-05-08,76,71,7
Whoknows,MUSIQ,2004-04-24,75,65,13
I Want You,JANET JACKSON,2004-04-03,74,57,10
Ocean Avenue,YELLOWCARD,2004-05-15,74,37,20
Last Train Home,LOSTPROPHETS,2004-05-01,75,75,6
Love Song,311,2004-05-01,72,59,20
Passenger Seat,SHEDAISY,2004-05-15,77,66,8
Tear It Up,YUNG WUN,2004-04-24,93,76,13
The Outsider,A PERFECT CIRCLE,2004-05-15,79,79,4
Love's Divine,SEAL,2004-02-28,93,79,20
You Raise Me Up,JOSH GROBAN,2004-03-20,75,73,17
Simple Life,CAROLYN DAWN JOHNSON,2004-04-17,79,73,5
Megalomaniac,INCUBUS,2004-01-03,75,55,20
99 Problems,JAY-Z,2004-05-08,94,30,12
Got It Twisted,MOBB DEEP,2004-04-17,99,64,20
Perfect,SARA EVANS,2004-01-24,71,46,19
Come Clean,HILARY DUFF,2004-02-28,53,35,13
Talk About Our Love,BRANDY,2004-05-15,88,36,14
Last One Standing,EMERSON DRIVE,2004-05-01,98,89,8
Figuered You Out,NICKELBACK,2004-02-07,76,65,19
Time's Up,JADAKISS,2004-05-08,91,70,8
Get No Better,CASSIDY,2004-05-08,98,79,12
Just For You,LIONEL RICHIE,2004-05-01,99,92,11
Maps,YEAH YEAH YEAHS,2004-03-13,98,87,13
Good Little Girls,BLUE COUNTY,2004-04-03,77,63,7
Jook Gal,ELEPHANT MAN,2004-04-24,99,57,18
Solitaire,CLAY AIKEN,2004-04-03,4,4,8
I Can't Wait,SLEEPY BROWN featuring OUTKAST,2004-02-21,58,40,13
What's Happenin',YING YANG TWINS,2004-05-08,99,30,20
Behind Blue Eyes,LIMP BIZKIT,2004-03-06,72,71,11
