Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks
Baby Got Back,SIR MIX-A-LOT,1992-04-11,75,1,28
I'll Be There,MARIAH CAREY,1992-05-30,13,1,20
Under The Bridge,RED HOT CHILI PEPPERS,1992-04-04,80,2,26
Achy Breaky Heart,BILLY RAY CYRUS,1992-05-09,83,4,25
Baby-Baby-Baby,TLC,1992-06-06,86,2,33
Tennessee,ARRESTED DEVELOPMENT,1992-04-11,83,6,22
This Used To Be My Playground,MADONNA,1992-07-04,35,1,20
If You Asked Me To,CELINE DION,1992-04-25,80,4,22
Wishing On A Star,COVER GIRLS,1992-05-30,41,9,20
Just Another Day,JON SECADA,1992-04-18,99,5,37
Life Is A Highway,TOM COCHRANE,1992-05-16,83,6,26
Damn I Wish I Was Your Lover,SOPHIE B. HAWKINS,1992-04-18,76,5,21
Too Funky,GEORGE MICHAEL,1992-06-13,41,10,20
The Best Things In Life Are Free,LUTHER VANDROSS &amp; JANET JACKSON,1992-05-30,24,10,20
Jump,KRIS KROSS,1992-04-04,61,1,21
Warm It Up,KRIS KROSS,1992-06-06,92,13,20
November Rain,GUNS N'ROSES,1992-06-27,40,3,20
Come And Talk To Me,JODECI,1992-04-04,97,11,28
Friday I'm In Love,THE CURE,1992-06-13,68,18,20
My Lovin' (You're Never Gonna Get It),EN VOGUE,1992-03-21,77,2,30
Giving Him Something He Can Feel,EN VOGUE,1992-06-06,95,6,24
Keep On Walkin',CE CE PENISTON,1992-05-23,97,15,21
Hold On My Heart,GENESIS,1992-05-02,79,12,20
Slow Motion,COLOR ME BADD,1992-05-09,100,18,20
They Want EFX,DAS EFX,1992-05-09,88,25,20
Move This,TECHNOTRONIC featuring YA KID K,1992-06-13,91,6,23
Take This Heart,RICHARD MARX,1992-06-13,69,20,20
Just For Tonight,VANESSA WILLIAMS,1992-05-23,93,26,19
Good Stuff,B-52'S,1992-06-20,59,28,13
The One,ELTON JOHN,1992-06-27,77,9,22
Live And Learn,JOE PUBLIC,1992-03-14,63,4,21
I Will Remember You,AMY GRANT,1992-04-25,83,20,20
Do It To Me,LIONEL RICHIE,1992-05-02,95,21,20
Why,ANNIE LENNOX,1992-05-16,100,34,20
Jam,MICHAEL JACKSON,1992-07-11,64,26,14
Make Love Like A Man,DEF LEPPARD,1992-06-27,67,36,10
Save The Best For Last,VANESSA WILLIAMS,1992-02-01,92,1,27
Tears In Heaven,ERIC CLAPTON,1992-02-08,81,2,26
Honey Love,R. KELLY &amp; THE PUBLIC ANNOUNCEMENT,1992-05-23,98,39,19
Just Take My Heart,MR. BIG,1992-04-11,92,16,20
You Won't See Me Cry,WILSON PHILLIPS,1992-05-09,96,20,16
Everybody's Free (To Feel Good),ROZALLA,1992-06-27,100,37,20
All I Want,TOAD THE WET SPROCKET,1992-06-27,82,15,25
In The Closet,MICHAEL JACKSON,1992-04-25,46,6,20
Mr. Loverman,SHABBA RANKS,1992-06-13,82,40,19
You Remind Me,MARY J. BLIGE,1992-06-20,77,29,20
Sometimes I Rhyme Slow,NICE &amp; SMOOTH,1992-05-09,97,44,18
Ain't 2 Proud 2 Beg,TLC,1992-02-22,98,6,22
Jump Around,HOUSE OF PAIN,1992-06-27,98,3,30
Stay,SHAKESPEAR'S SISTER,1992-07-04,77,4,20
One,U2,1992-03-14,76,10,20
Even Better Than The Real Thing,U2,1992-07-11,72,32,15
End Of The Road,BOYZ II MEN,1992-07-18,53,1,32
Remedy,BLACK CROWES,1992-06-13,70,48,9
Thought I'd Died And Gone To Heaven,BRYAN ADAMS,1992-03-14,73,13,20
Strawberry Letter 23,TEVIN CAMPBELL,1992-06-06,91,53,9
Scenario,A TRIBE CALLED QUEST,1992-06-06,93,57,15
Slowly,STACY EARL,1992-06-20,100,52,9
Please Don't Go,K.W.S.,1992-06-20,99,6,26
Twilight Zone,2 UNLIMITED,1992-06-13,90,49,20
Back To The Hotel,N2DEEP,1992-07-11,84,14,30
Everything About You,UGLY KID JOE,1992-04-04,69,9,20
They Reminisce Over You (T.R.O.Y.),PETE ROCK &amp; C.L. SMOOTH,1992-06-27,76,58,15
Helluva,BROTHERHOOD CREED,1992-04-18,90,53,18
T.L.C.,LINEAR,1992-05-09,85,30,13
Closer To Me,OUTFIELD,1992-05-16,84,43,11
All You've Got,RTZ,1992-06-06,97,56,8
Globe,BIG AUDIO DYNAMITE II,1992-02-15,99,59,29
Brainstorming,M.C. BRAINS,1992-07-04,82,69,9
I Miss You,JOE PUBLIC,1992-07-04,86,55,13
Never Satisfied,GOOD 2 GO,1992-05-09,99,64,14
Silent Prayer,SHANICE,1992-04-25,81,31,17
Maria,TKA,1992-04-04,96,44,18
Why Me Baby?,KEITH SWEAT,1992-04-11,100,44,17
Please Don't Go,BOYZ II MEN,1992-04-04,89,49,20
The Way I Feel,TAG,1992-07-04,96,63,8
Victim Of The Ghetto,COLLEGE BOYZ,1992-05-23,99,68,15
Restless Heart,PETER CETERA,1992-07-11,98,35,20
I Wanna Love You,JADE,1992-07-11,91,16,21
Tequila,A.L.T. &amp; THE LOST CIVILIZATION,1992-07-11,92,48,14
57 Channels (And Nothin' On),BRUCE SPRINGSTEEN,1992-06-20,78,68,6
Money Can't Buy You Love,RALPH TRESVANT,1992-07-18,82,54,12
Let's Get Rocked,DEF LEPPARD,1992-04-11,27,15,18
Reach For The Sky,FIREHOUSE,1992-07-04,92,83,5
Forever In Your Eyes,MINT CONDITION,1992-06-20,98,81,8
Fall In Love Again,EDDIE MONEY,1992-05-16,93,54,11
We Will Rock You / We Are The Champions,QUEEN,1992-07-11,87,52,14
Faces Of Love,NIA PEEPLES,1992-06-27,95,88,4
Whatever It Takes (To Make You Stay),TROOP,1992-06-20,65,63,5
If You Want It,2ND II NONE,1992-04-04,98,64,16
Not The Only One,BONNIE RAITT,1992-04-18,85,34,17
Strobelight Honey,BLACK SHEEP,1992-07-04,90,80,6
So What'cha Want,BEASTIE BOYS,1992-07-04,99,93,5
Come As You Are,NIRVANA,1992-03-21,76,32,18
