Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks
Island Girl,ELTON JOHN,1975-10-11,49,1,15
Lyin' Eyes,EAGLES,1975-09-13,79,2,14
I'm Sorry / Calypso,JOHN DENVER,1975-08-16,64,1,18
Who Loves You,FOUR SEASONS,1975-08-23,88,3,20
Miracles,JEFFERSON STARSHIP,1975-08-23,82,3,17
Love Is A Rose / Heatwave,LINDA RONSTADT,1975-09-06,73,5,15
They Just Can't Stop It (Games People Play),SPINNERS,1975-08-09,82,5,18
This Will Be,NATALIE COLE,1975-08-23,107,6,18
Feelings,MORRIS ALBERT,1975-06-21,98,6,32
The Way I Want To Touch You,CAPTAIN &amp; TENNILLE,1975-09-27,80,4,17
Do It Any Way You Wanna,PEOPLES' CHOICE,1975-08-23,64,11,16
Low Rider,WAR,1975-09-20,78,7,15
Something Better To Do,OLIVIA NEWTON-JOHN,1975-09-20,77,13,11
Lady Blue,LEON RUSSELL,1975-08-02,95,14,19
S.O.S.,ABBA,1975-09-06,99,15,15
Bad Blood,NEIL SEDAKA,1975-09-13,66,1,14
Sky High,JIGSAW,1975-08-30,88,3,21
Nights On Broadway,BEE GEES,1975-10-04,82,7,16
That's The Way (I Like It),K.C. AND THE SUNSHINE BAND,1975-10-25,50,1,16
You,GEORGE HARRISON,1975-09-20,75,20,10
What A Difference A Day Made,ESTHER PHILLIPS,1975-08-16,83,20,16
Fly Robin Fly,SILVER CONVENTION,1975-10-11,87,1,17
Born To Run,BRUCE SPRINGSTEEN,1975-09-20,68,23,11
My Little Town,SIMON &amp; GARFUNKEL,1975-10-18,81,9,14
I Only Have Eyes For You,ART GARFUNKEL,1975-08-23,87,18,18
Eighteen With A Bullet,PETE WINGFIELD,1975-08-09,110,15,21
Blue Eyes Crying In The Rain,WILLIE NELSON,1975-08-30,86,21,18
Let's Do It Again,STAPLE SINGERS,1975-10-25,68,1,15
Operator,MANHATTAN TRANSFER,1975-09-20,87,22,12
Brazil,RITCHIE FAMILY,1975-08-02,88,11,18
Give It What You Got,B.T. EXPRESS,1975-08-09,84,31,18
Just Too Many People,MELISSA MANCHESTER,1975-09-20,79,30,12
I Want A Do Something Freaky To You,LEON HAYWOOD,1975-09-06,90,15,17
Rockin' All Over The World,JOHN FOGERTY,1975-09-06,71,27,11
Secret Love,FREDDY FENDER,1975-10-18,82,20,11
Saturday Night,BAY CITY ROLLERS,1975-10-11,85,1,17
Our Day Will Come,FRANKIE VALLI,1975-10-18,85,11,12
It Only Takes A Minute,TAVARES,1975-07-26,82,10,18
Dance With Me,ORLEANS,1975-07-19,89,6,18
Diamonds And Rust,JOAN BAEZ,1975-09-20,89,35,11
Fame,DAVID BOWIE,1975-06-28,90,1,21
The Agony And The Ecstacy,SMOKEY ROBINSON,1975-09-06,86,36,12
Ballroom Blitz,SWEET,1975-06-14,100,5,25
Ain't No Way To Treat A Lady,HELEN REDDY,1975-08-09,86,8,16
Since I Met You Baby,FREDDY FENDER,1975-10-18,87,45,8
Every Day I Have To Cry Some,ARTHUR ALEXANDER,1975-09-06,101,45,10
Sweet Sticky Thing,OHIO PLAYERS,1975-09-20,64,33,8
Change With The Times,VAN McCOY,1975-10-11,86,46,8
Mexico,JAMES TAYLOR,1975-10-04,90,49,8
I'm On Fire,5000 VOLTS,1975-10-18,86,26,10
There Goes Another Love Song,OUTLAWS,1975-09-06,79,34,10
Keep On Tryin',POCO,1975-09-20,99,50,9
Dreaming A Dream,CROWN HEIGHTS AFFAIR,1975-08-16,87,43,13
How I Spent My Summer Vacation,CHEECH &amp; CHONG,1975-10-18,90,54,5
Hollywood Hot,ELEVENTH HOUR,1975-08-30,98,55,11
