Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks
Step By Step,NEW KIDS ON THE BLOCK,1990-05-26,27,1,15
She Ain't Worth It,GLENN MEDEIROS featuring BOBBY BROWN,1990-05-19,50,1,18
Hold On,EN VOGUE,1990-05-05,61,2,25
I'll Be Your Shelter,TAYLOR DAYNE,1990-05-05,56,4,18
Cradle Of Love,BILLY IDOL,1990-05-05,83,2,24
It Must Have Been Love,ROXETTE,1990-04-07,67,1,25
Rub You The Right Way,JOHNNY GILL,1990-05-12,49,3,23
Enjoy The Silence,DEPECHE MODE,1990-04-14,96,8,24
The Power,SNAP,1990-05-12,81,2,22
Poison,BELL BIV DEVOE,1990-04-07,52,3,22
Girls Nite Out,TYLER COLLINS,1990-04-28,89,6,21
Do You Remember,PHIL COLLINS,1990-04-28,51,4,19
When I'm Back On My Feet Again,MICHAEL BOLTON,1990-05-26,74,7,19
Vision Of Love,MARIAH CAREY,1990-06-02,73,1,22
Hold On,WILSON PHILLIPS,1990-03-17,74,1,25
Mentirosa,MELLOW MAN ACE,1990-05-12,88,14,24
Ready Or Not,AFTER 7,1990-03-31,96,7,21
You Can't Deny It,LISA STANSFIELD,1990-05-26,81,14,14
King Of Wishful Thinking,GO WEST,1990-05-19,96,8,24
Make You Sweat,KEITH SWEAT,1990-06-02,91,14,21
Don't Go Away Mad (Just Go Away),MOTLEY CRUE,1990-06-02,72,19,16
U Can't Touch This,M.C. HAMMER,1990-04-28,27,8,17
Vogue,MADONNA,1990-04-14,39,1,24
If Wishes Came True,SWEET SENSATION,1990-06-16,58,1,20
Hanky Panky,MADONNA,1990-06-30,40,10,11
Bad Of The Heart,GEORGE LAMOND,1990-05-12,84,25,17
The Humpty Dance,DIGITAL UNDERGROUND,1990-03-17,81,11,23
Sittin' In The Lap Of Luxury,LOUIE LOUIE,1990-04-28,97,19,16
Could This Be Love,SEDUCTION,1990-06-09,88,11,18
Come Back To Me,JANET JACKSON,1990-06-30,93,2,17
Epic,FAITH NO MORE,1990-06-23,71,9,21
Jerk Out,TIME,1990-06-30,65,9,15
Notice Me,NIKKI,1990-04-28,73,21,15
Pure,LIGHTNING SEEDS,1990-05-19,87,31,15
Sending All My Love,LINEAR,1990-02-17,92,5,27
Unskinny Bop,POISON,1990-07-07,70,3,19
Possession,BAD ENGLISH,1990-06-09,94,21,17
Kiss This Thing Goodbye,DEL AMITRI,1990-05-19,79,35,11
Children Of The Night,RICHARD MARX,1990-04-28,55,13,15
I Didn't Want To Need You,HEART,1990-06-23,67,23,14
The Ballad Of Jayne,L.A. GUNS,1990-04-07,99,33,22
Club At The End Of The Street,ELTON JOHN,1990-04-28,86,28,16
All I Wanna Do Is Make Love To You,HEART,1990-03-31,57,2,20
Across The River,BRUCE HORNSBY AND THE RANGE,1990-06-23,63,18,16
The Other Side,AEROSMITH,1990-06-23,74,22,15
Have You Seen Her,MC HAMMER,1990-06-30,63,4,20
Baby It's Tonight,JUDE COLE,1990-04-14,74,16,19
Do Me,BELL BIV DEVOE,1990-06-30,92,3,22
My Kinda Girl,BABYFACE,1990-06-16,71,30,13
Release Me,WILSON PHILLIPS,1990-06-30,76,1,22
Love & Emotion,STEVIE B,1990-06-30,70,15,15
We're All In The Same Gang,WEST COAST RAP ALL-STARS,1990-06-23,80,35,16
