Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks
American Woman / No Sugar Tonight,GUESS WHO,1970-03-21,46,1,15
Vehicle,IDES OF MARCH,1970-03-28,98,2,12
Turn Back The Hands Of Time,TYRONE DAVIS,1970-03-14,109,3,14
Everything Is Beautiful,RAY STEVENS,1970-03-28,103,1,16
Cecilia,SIMON &amp; GARFUNKEL,1970-04-11,68,4,13
Let It Be,BEATLES,1970-03-21,6,1,14
Love On A Two Way Street,MOMENTS,1970-04-11,56,3,15
Up Around The Bend / Run Through The Jungle,CREEDENCE CLEARWATER REVIVAL,1970-04-25,48,4,11
ABC,JACKSON FIVE,1970-03-14,41,1,13
Reflections Of My Life,MARMALADE,1970-03-07,101,10,16
Spirit In The Sky,NORMAN GREENBAUM,1970-02-14,102,3,17
Get Ready,RARE EARTH,1970-03-14,91,4,20
For The Love Of Him,BOBBI MARTIN,1970-02-28,114,13,16
Which Way You Goin' Billy,POPPY FAMILY,1970-03-21,106,2,18
Woodstock,"CROSBY, STILLS, NASH AND YOUNG",1970-03-28,68,11,11
Love Or Let Me Be Lonely,FRIENDS OF DISTINCTION,1970-03-07,82,6,13
Make Me Smile,CHICAGO,1970-04-04,89,9,14
The Letter,JOE COCKER,1970-04-18,72,7,12
What Is Truth,JOHNNY CASH,1970-04-11,66,19,8
Daughter Of Darkness,TOM JONES,1970-04-25,109,13,10
Something's Burning,KENNY ROGERS &amp; THE FIRST EDITION,1970-02-14,85,11,16
Reach Out And Touch (Somebody's Hand),DIANA ROSS,1970-04-25,49,20,9
Little Green Bag,GEORGE BAKER SELECTION,1970-03-14,101,21,14
Come Saturday Morning,SANDPIPERS,1970-04-11,88,17,12
Puppet Man,5TH DIMENSION,1970-04-11,123,24,9
My Baby Loves Lovin',WHITE PLAINS,1970-04-11,118,13,16
Instant Karma,JOHN LENNON &amp; THE PLASTIC ONO BAND,1970-02-28,65,3,13
Viva Tirado,EL CHICANO,1970-04-04,108,28,10
Hitchin' A Ride,VANITY FARE,1970-03-21,93,5,22
United We Stand,BROTHERHOOD OF MAN,1970-04-11,103,13,16
Soolaimon,NEIL DIAMOND,1970-04-25,101,30,8
Let Me Go To Him,DIONNE WARWICK,1970-04-18,88,32,7
Brother Rapp,JAMES BROWN,1970-05-02,77,32,8
Lay Down (Candles In The Rain),MELANIE with EDWIN HAWKINS SINGERS,1970-04-25,89,6,17
The Long And Winding Road / For You Blue,THE BEATLES,1970-05-23,35,1,10
The Wonder Of You / Mama Liked The Roses,ELVIS PRESLEY,1970-05-09,109,9,13
Airport Love Theme,VINCENT BELL,1970-03-28,115,31,10
Ride Captain Ride,BLUES IMAGE,1970-04-25,104,4,17
Hey Lawdy Mama,STEPPENWOLF,1970-04-11,77,35,8
Cole Cooke & Redding / Sugar Sugar,WILSON PICKETT,1970-03-28,122,25,17
It's All In The Game,FOUR TOPS,1970-04-25,99,24,13
Love Land,CHARLES WRIGHT &amp; WATTS 103RD STREET RHYTHM BAND,1970-04-04,111,16,18
Oh Happy Day,GLEN CAMPBELL,1970-04-11,95,40,8
The Seeker,THE WHO,1970-04-18,90,44,7
Band Of Gold,FREDA PAYNE,1970-03-28,124,3,24
(You've Got Me) Dangling On A String,CHAIRMEN OF THE BOARD,1970-05-02,86,38,9
Question,MOODY BLUES,1970-05-02,94,21,12
Everybody's Out Of Town,B.J. THOMAS,1970-03-28,74,26,9
Tennessee Birdwalk,JACK BLANCHARD &amp; MISTY MORGAN,1970-02-28,98,23,13
The Onion Song,MARVIN GAYE &amp; TAMMI TERRELL,1970-04-11,130,50,8
