Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks
Hollaback,GWEN STEFANI,2005-04-02,82,1,31
Hate It Or Love It,THE GAME feat 50 CENT,2005-02-12,85,2,23
Oh,CIARA featuring LUDACRIS,2005-03-26,75,2,23
Lonely,AKON,2005-02-26,90,4,20
Just A Lil Bit,50 CENT,2005-03-26,87,3,27
Candy Shop,50 CENT featuring OLIVIA,2005-02-05,53,1,23
We Belong Together,MARIAH CAREY,2005-04-16,81,1,43
Since U Been Gone,KELLY CLARKSON,2004-12-18,70,2,46
Lonely No More,ROB THOMAS,2005-02-19,78,6,34
Slow Down,BOBBY VALENTINO,2005-03-05,95,8,22
Obsession,FRANKIE J featuring BABY BASH,2005-01-29,63,3,21
I Thing,AMERIE,2005-02-12,100,8,20
Mr. Brightside,KILLERS,2005-02-12,40,10,38
Coldplay,SPEED OF SOUND,2005-05-07,8,8,20
Boulevard Of Broken Dreams,GREEN DAY,2004-11-27,71,2,40
Don't Phunk With My Heart,BLACK EYED PEAS,2005-04-23,97,3,26
Switch,WILL SMITH,2005-03-05,88,7,28
Disco Inferno,50 CENT,2004-12-11,54,3,29
American Baby,DAVE MATTHEWS BAND,2005-05-14,19,16,11
Some Cut,TRILLVILLE,2004-12-25,70,14,25
Let Me Go,3 DOORS DOWN,2005-02-05,73,14,31
Wait (The Whisper Song),YING YANG TWINS,2005-02-26,94,15,22
Karma,ALICIA KEYS,2004-11-27,93,20,29
Let Me Love You,MARIO WINANS,2004-10-23,97,1,36
Girlfight,BROOKE VALENTINE featuring LIL JON &amp; BIG BOI,2005-03-05,98,23,20
Girl,DESTINY'S CHILD,2005-04-02,90,23,18
Rich Girl,GWEN STEFANI,2004-12-25,74,7,27
Goin' Crazy,NATALIE,2005-02-12,80,13,20
Sugar (Gimme Some),TRICK DADDY,2005-01-22,100,20,26
1-2 Step,CIARA &amp; MISSY ELLIOTT,2004-10-30,74,2,39
Holiday,GREEN DAY,2005-04-09,98,19,32
U Don't Know Me,T.I.,2005-01-22,77,23,20
U Already Know,112 featuring FOXY BROWN,2005-03-05,99,32,20
Collide,HOWIE DAY,2005-02-12,78,20,32
Incomplete,BACKSTREET BOYS,2005-04-23,55,13,20
Truth Is,FANTASIA,2005-01-22,73,21,20
Caught Up,USHER,2004-12-11,76,8,27
Behind These Hazel Eyes,KELLY CLARKSON,2005-04-23,87,6,34
Breakaway,KELLY CLARKSON,2004-08-28,60,6,46
Number One Spot,LUDACRIS,2005-03-05,82,19,16
How We Do,THE GAME,2004-11-27,65,4,28
Baby I'm Back,BABY BASH featuring AKON,2005-02-26,97,19,25
I'm A Hustla,CASSIDY,2005-03-19,85,34,19
Grind With Me,PRETTY RICKIE,2005-04-16,92,7,22
It's Like That,MARIAH CAREY,2005-01-29,53,16,20
When You Tell Me That You Love Me,AMERICAN IDOL FINALISTS SEASON 4,2005-05-07,39,39,4
Again,FAITH EVANS,2005-03-26,90,47,14
Scars,PAPA ROACH,2005-02-12,73,15,38
You & Me,LIFEHOUSE,2005-03-19,99,5,58
Okay,NIVEA feat LIL JON &amp; YOUNGBLOODZ,2004-12-25,95,40,21
Best Of You,FOO FIGHTERS,2005-05-14,51,18,21
How Could You,MARIO,2005-03-19,93,52,17
Beverly Hills,WEEZER,2005-04-16,25,10,43
Making Memories Of Us,KEITH URBAN,2005-04-23,90,34,20
Ordinary People,JOHN LEGEND,2005-01-08,73,24,20
Breathe (2.A.M.),ANNA NALIK,2005-04-30,92,53,20
Almost,BOWLING FOR SOUP,2005-02-19,95,46,20
Homewrecker,GRETCHEN WILSON,2005-03-26,91,56,13
